Traceback (most recent call last):
  File "./combine_obs_2min.py", line 3, in <module>
    from letkfobsio import *
ModuleNotFoundError: No module named 'letkfobsio'
2013:07:13 04-46-00 -> 2013:07:13 04-46-00
2013:07:13 04-45-00 -> 2013:07:13 04-46-00
2013:07:13 04-45-30 -> 2013:07:13 04-46-00
2013:07:13 04-46-00 -> 2013:07:13 04-46-00
2013:07:13 04-46-30 -> 2013:07:13 04-47-00
2013:07:13 04-47-00 -> 2013:07:13 04-47-00
2013:07:13 04-47-30 -> 2013:07:13 04-48-00
2013:07:13 04-46-30 -> 2013:07:13 04-48-00
2013:07:13 04-48-00 -> 2013:07:13 04-48-00
2013:07:13 04-47-00 -> 2013:07:13 04-48-00
2013:07:13 04-47-30 -> 2013:07:13 04-48-00
2013:07:13 04-48-00 -> 2013:07:13 04-48-00
2013:07:13 04-48-30 -> 2013:07:13 04-49-00
2013:07:13 04-49-00 -> 2013:07:13 04-49-00
2013:07:13 04-49-30 -> 2013:07:13 04-50-00
2013:07:13 04-48-30 -> 2013:07:13 04-50-00
2013:07:13 04-50-00 -> 2013:07:13 04-50-00
2013:07:13 04-49-00 -> 2013:07:13 04-50-00
2013:07:13 04-49-30 -> 2013:07:13 04-50-00
2013:07:13 04-50-00 -> 2013:07:13 04-50-00
2013:07:13 04-50-30 -> 2013:07:13 04-51-00
2013:07:13 04-51-00 -> 2013:07:13 04-51-00
2013:07:13 04-51-30 -> 2013:07:13 04-52-00
2013:07:13 04-52-00 -> 2013:07:13 04-52-00
2013:07:13 04-50-30 -> 2013:07:13 04-52-00
2013:07:13 04-51-00 -> 2013:07:13 04-52-00
2013:07:13 04-51-30 -> 2013:07:13 04-52-00
2013:07:13 04-52-00 -> 2013:07:13 04-52-00
2013:07:13 04-52-30 -> 2013:07:13 04-53-00
2013:07:13 04-53-00 -> 2013:07:13 04-53-00
2013:07:13 04-53-30 -> 2013:07:13 04-54-00
2013:07:13 04-54-00 -> 2013:07:13 04-54-00
2013:07:13 04-52-30 -> 2013:07:13 04-54-00
2013:07:13 04-53-00 -> 2013:07:13 04-54-00
2013:07:13 04-53-30 -> 2013:07:13 04-54-00
2013:07:13 04-54-00 -> 2013:07:13 04-54-00
2013:07:13 04-54-30 -> 2013:07:13 04-55-00
2013:07:13 04-55-00 -> 2013:07:13 04-55-00
2013:07:13 04-55-30 -> 2013:07:13 04-56-00
2013:07:13 04-56-00 -> 2013:07:13 04-56-00
2013:07:13 04-54-30 -> 2013:07:13 04-56-00
2013:07:13 04-55-00 -> 2013:07:13 04-56-00
2013:07:13 04-55-30 -> 2013:07:13 04-56-00
2013:07:13 04-56-00 -> 2013:07:13 04-56-00
